Crop,Scientific,Stress,Description,Solutions,Causal Organisms,Affected Plant Parts,Affected Plant Stages
Corn,Zea mays,Leaf Spot,"Leaf spot is a common disease that affects corn plants. It is caused by several different fungal pathogens, including Helminthosporium spp., Cercospora spp., and Bipolaris spp.     Symptoms of leaf spot typically appear as small, circular lesions on the leaves, which can be surrounded by a yellow halo.        If left untreated, leaf spot can cause significant damage to corn plants, reducing yield and overall plant health.     To manage leaf spot, it is important to implement a combination of cultural and chemical control measures.    ","To control leaf spot on corns, there are several methods that can be used, including chemical control, biological control, and cultural control. 

Chemical Control: There are numerous fungicides available for control of Gray leaf spot.      However, there is no guarantee that fungicide applications will result in economic returns, especially if they are applied to highly resistant hybrids in fields with little disease.  For this reason it is important to scout fields for symptoms of Gray leaf spot and apply fungicides only when they are needed.  Scouts should pay particular attention to the lower three leaves of the corn plant from the period just before tasseling to two weeks after tasseling.  If at least 50% of plants in a field have disease present on the third leaf below the ear leaf or higher prior to tasseling, the hybrid is susceptible, and the conditions are favorable for disease, then a spray may be warranted.  Gray leaf spot severity is unpredictable and multiple factors should be considered when making the decision to use fungicides to control Gray leaf spot.  Always follow label directions when applying a fungicide.        

Biological Control: Involves the use of natural enemies, such as beneficial microorganisms, to control leaf spot. One example of biological control is the use of biocontrol agents, such as Trichoderma spp., Bacillus spp., or Pseudomonas spp., which can colonize the plant's roots and leaves, and produce antifungal compounds that suppress the growth of leaf spot pathogens.       

Cultural Control: Involves modifying the environment to make it less favorable for the development and spread of leaf spot. This can include practices such as crop rotation, planting resistant varieties, and sanitation. For example, removing infected plant debris and avoiding overhead irrigation can help reduce the spread of leaf spot. Other cultural practices that can help prevent leaf spot infections include planting corn in well-drained soil, avoiding planting corn in fields with a history of leaf spot infections and providing proper nutrition and avoiding over-fertilization, which can increase susceptibility to leaf spot.    ",Fungus,"Leaves, stems and tassels",Vegetative stage
Corn,Zea mays,Powdery Mildew,"Powdery mildew is another common fungal disease that can affect corn plants. The disease is caused by the fungus Erysiphe orontii and appears as a white, powdery coating on the leaves, stalks, and tassels of the plant.        The powdery mildew fungus thrives in warm, humid conditions, and can spread rapidly if left unchecked. In addition to reducing yield, powdery mildew can also lead to premature plant death and susceptibility to other diseases.    ","To control Powdery Mildew on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.          Chemical Control: There are many fungicides available that can be used to control powdery mildew on corns, such as sulfur, triazoles, and strobilurins.      However, it's important to use these fungicides judiciously and follow the label instructions carefully to avoid harming non-target organisms and to minimize the environmental impact.          Biological Control: Biological control involves the use of natural enemies, such as beneficial microorganisms, to control powdery mildew.      One example of biological control is the use of biocontrol agents, such as Trichoderma spp. and Bacillus spp., which can colonize the plant's roots and leaves,      and produce antifungal compounds that suppress the growth of powdery mildew pathogens.          Cultural Control: Practices such as crop rotation, planting resistant varieties, and sanitation.      For example, removing infected plant debris and avoiding overhead irrigation can help reduce the spread of powdery mildew.      Other cultural practices that can help prevent powdery mildew infections include planting corn in well-drained soil, avoiding planting corn in fields with a history of powdery mildew infections,      and Providing proper nutrition and avoiding over-fertilization, which can increase susceptibility to powdery mildew.    ",Fungus,Leaves stems and ears,"Affects flowering, fruiting, seedling and vegetative growing stages of the plants"
Corn,Zea mays,Armyworm,"Armyworms are the larvae of certain species of moths that can cause significant damage to corn crops. They are named for their behavior of moving in large groups and devouring everything in their path, much like an army on the march.        Armyworms are typically about 1-2 inches in length and can be brown, gray, or green in color. They have distinct stripes on their bodies that run the length of their back and sides. Armyworms feed on the leaves, stalks, and ears of corn plants, causing damage that can range from minor to severe.    ","To control Armyworm on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.        

Chemical Control: There are many insecticides available that can be used to control armyworms on corns, such as pyrethroids, carbamates, and organophosphates.     However, it's important to use these insecticides judiciously and follow the label instructions carefully to avoid harming non-target organisms and to minimize the environmental impact.        

Biological Control: One example of biological control is the use of parasitic wasps or flies that lay their eggs in the armyworm's eggs or larvae, causing their death. Another example is the use of insect-killing fungi, such as Beauveria bassiana, which can infect and kill armyworms.        

Cultural Control: Cultural control involves modifying the environment to make it less favorable for the development and spread of armyworms. This can include practices such as crop rotation, planting resistant varieties, and sanitation.     For example, removing crop residues and weeds from the field can help reduce the population of armyworms, planting corn early in the season to avoid peak armyworm activity.        ",Insects,"Leaves, Stem, Inside of the plants body ",vegetative growing stages
Corn,Zea mays,Corn Borer,"Corn borers are a common pest that can cause significant damage to corn crops. They are the larvae of moths that lay their eggs on the leaves of corn plants. When the eggs hatch, the larvae burrow into the stalks or ears of the corn plant and feed on the tissue inside.    Corn borer damage can cause the plant to become stunted and weakened, and it can also make the plant more susceptible to other pests and diseases. The damage can also lead to yield losses if left unchecked.    ","To control Corn Borer on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.         

Chemical Control: There are several insecticides that are effective against corn borers, including chlorpyrifos, bifenthrin, and cypermethrin. It is important to follow the label instructions carefully and apply insecticides when corn borers are in their most susceptible stages.        

Biological Control: One such natural enemy is the Trichogramma wasp, which lays its eggs in the eggs of corn borers, preventing them from hatching. Another natural enemy is the Bacillus thuringiensis (Bt) bacterium, which produces a toxin that is lethal to corn borers.        

Cultural Control: Cultural control involves using practices that make the environment less favorable for corn borers. Some strategies include choosing corn hybrids that have been bred for resistance to corn borers can reduce the need for chemical or biological control, planting corn early or late in the season can reduce the risk of corn borer infestations, and plowing or disking the soil can disrupt corn borer overwintering sites and reduce populations.    ","insects, pest","Leaves, Stem",Vegetative stage
Corn,Zea mays,Eye Spot,"Eye spot is a fungal disease that can affect corn plants. It is caused by the fungus Aureobasidium zeae and can cause significant damage to the leaves and stalks of the plant.        Eye spot appears as small, circular lesions on the corn leaves. These lesions can range in color from tan to reddish-brown and are surrounded by a yellowish halo. As the disease progresses, the lesions can coalesce and cause the leaf tissue to die and turn brown. In severe cases, the disease can also infect the stalks of the corn plant, causing lodging and yield losses.    ","To control Eye spot on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.          

Chemical Control: Fungicides such as azoxystrobin, pyraclostrobin, and propiconazole are effective against eye spot. It is important to follow the label instructions carefully and apply fungicides when eye spot is first detected or when conditions are favorable for disease development.          

Biological Control: One such natural enemy is the Trichoderma fungus, which is known to colonize the roots of corn plants and suppress eye spot. Other beneficial microorganisms such as mycorrhizae and rhizobacteria can also help reduce eye spot infections.          

Cultural Control: Cultural control involves using practices that make the environment less favorable for corn borers. Some strategies include planting a non-host crop, such as soybeans, in between corn crops can reduce eye spot populations, planting corn varieties that are resistant to eye spot can reduce the need for chemical or biological control, and plowing or disking the soil can help bury infected corn debris and reduce the risk of eye spot infections.    ",fungus,Leaves,Vegetative stage
Corn,Zea mays,corn plant hopper,"Peregrinus maidis, commonly known as the corn planthopper, is a species of insect in the order Hemiptera and the family Delphacidae.It is widespread throughout most tropical and subtropical regions on earth, including southern North America, South America, Africa, Australia, Southeast Asia and China. P. maidis are a commercially important pest of maize and its relatives.In addition to physical plant damage, P. maidis is the vector for several species-specific maize viruses, including maize stripe virus, maize mosaic virusmand the non-pathogenic Peregrinus maidis reovirus.   ","To control White Flies on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.          

Chemical Control: Applying insecticides when population is mostly young nymphs is wasteful because useful organisms usually keep their numbers under control.
• Indiscriminate use of insecticides causes BPH resurgence.
• Selective insecticides can also be used on strategic areas with very high population. However, proper application must be observed. 

Biological Control: Useful organisms should be encouraged to build-up by avoiding early application of insecticides. Small wasps (e.g. Anagrus sp. and Oligosita sp.) attack eggs.
• Mirid bugs prey on eggs.
• Dragonflies and damselflies prey on nymphs and adults during flight.
• Spiders, water bugs, and lady beetles prey on nymphs and adults.
• Dryinids kill nymphs.
• Some entomophagous fungi kill nymphs and adults.          

Cultural Control: • Use varieties that are resistant to planthoppers.
• Grow early maturing varieties to have a rice-free period of more than 1 month to break pest cycle.
• Plow under ratoons and volunteer crops after harvest as these may serve as inoculum for viral diseases.
• Avoid dense planting in areas with history of recent planthopper infestations.
• Practice appropriate and balanced fertilizer application. Split nitrogen fertilizer into three applications during crop growth to reduce BPH build-up.
• Raise the level of irrigation water periodically to destroy the eggs that are deposited at the lower portions of tillers and in leaf sheaths.
• Intensify weeding to reduce hopper density. Straight row planting with proper spacing does not favor multiplication of planthoppers.
• Maintain low water level to enhance killing action of useful organisms","pest, insect",Leaves,"Affects flowering, fruiting, seedling and vegetative growing stages of the plants"
Corn,Zea mays,corn borer midrib feeding,"Corn borer midrib feeding is a type of damage caused by the larvae of the corn borer moth that feed on the midrib of corn leaves. The midrib is the central vein that runs through the center of the leaf.        When corn borer larvae feed on the midrib of corn leaves, they can cause significant damage to the plant. The feeding can cause the leaves to wilt and curl, and it can also make the plant more susceptible to other pests and diseases.        The larvae of the corn borer moth are usually about 1 inch long and can be light pink or greenish-white in color. They can be found feeding on the midrib and inside the stalks or ears of the corn plant.    "," To control Corn borer midrib feeding on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.          

Chemical Control: There are several insecticides that are effective against corn borer midrib feeding, including chlorpyrifos, bifenthrin, and cypermethrin. It is important to follow the label instructions carefully and apply insecticides when corn borer midrib feeding is in its most susceptible stage.          

Biological Control: One such natural enemy is the Trichogramma wasp, which lays its eggs in the eggs of corn borers, preventing them from hatching. Another natural enemy is the Bacillus thuringiensis (Bt) bacterium, which produces a toxin that is lethal to corn borers.          

Cultural Control: Cultural control involves using practices that make the environment less favorable for corn borer midrib feeding. Some strategies include plowing or disking the soil can disrupt corn borer midrib feeding overwintering sites and reduce populations, planting corn early or late in the season can reduce the risk of corn borer midrib feeding infestations, and choosing corn hybrids that have been bred for resistance to corn borer midrib feeding can reduce the need for chemical or biological control.    ","pest, insect",Leaves and Stem,Vegetative stage
Corn,Zea mays,fall armyworm eggs,"The egg is dome shaped; the base is flattened and the egg curves upward to a broadly rounded point at the apex. The egg measures about 0.4 mm in diameter and 0.3 mm in height. The number of eggs per mass varies considerably but is often 100 to 200, and total egg production per female averages about 1500 with a maximum of over 2000. The eggs are sometimes deposited in layers, but most eggs are spread over a single layer attached to foliage. The female also deposits a layer of grayish scales between the eggs and over the egg mass, imparting a furry or moldy appearance. Duration of the egg stage is only two to three days during the summer months."," To control Corn borer midrib feeding on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.          

Chemical Control: Insecticides are usually applied to sweet corn in the southeastern states to protect against damage by fall armyworm, sometimes as frequently as daily during the silking stage. Insecticides may be applied in the irrigation water if it is applied from overhead sprinklers. Granular insecticides are also applied over the young plants because the particles fall deep into the whorl. Some resistance to insecticides has been noted, with resistance varying regionally.keeping the plants free of larvae during the vegetative period reduced the number of sprays needed during the silking period. The grower practice of concentrating the sprays at the beginning of the silking period instead of spacing the sprays evenly provided little benefit.   

Biological Control: Although several pathogens have been shown experimentally to reduce the abundance of fall armyworm larvae in corn, only Bacillus thuringiensis presently is feasible, and success depends on having the product on the foliage when the larvae first appear. Natural strains of Bacillus thuringiensis tend not to be very potent, and genetically modified strains improve performance.  

Cultural Control: The most important cultural practice, employed widely in southern states, is early planting and/or early maturing varieties. Early harvest allows many corn ears to escape the higher armyworm densities that develop later in the season. Reduced tillage seems to have little effect on fall armyworm populations, although delayed invasion by moths of fields with extensive crop residue has been observed, thus delaying and reducing the need for chemical suppression.","pest, insect",Leaves,"fruiting, vegetative stage"
Corn,Zea mays,adult armyworm,"Armyworms are the heavy-bodied larvae of moths in the family Noctuidae. These nocturnal flyers lay eggs that hatch small larvae, which grow up to 2 inches long and curl up when disturbed. The larvae feed in large numbers, distinguishing them from the cutworm, which feeds singly. While they have varying appearances based on their species, all army caterpillars have a distinctive inverted Y mark on their heads. Egg-laying sites include agricultural crops and the grass blades of pasture grasses, and cool-season grasses. Any plant that is a corn strain or rice strain may be susceptible."," To control Corn borer midrib feeding on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.          

Chemical Control: Azadirachtin sprays are also quite useful as a method for killing armyworms. Azadirachtin, the naturally-occurring active ingredient that makes neem oil so effective, smothers most eggs of these worms and kills the larvae. Other horticultural oils like neem oil are also effective against armyworms but have lesser amounts of azadirachtin than a pure form of neem oil does. A spinosad spray is just as effective as the other recommendations listed. Like Bt and azadirachtin, it works against multiple pests including the entire caterpillar family, asparagus beetles, and potato bugs. Ensure you follow the label and instructions for each insecticide’s intended use. 

Biological Control: An excellent choice for control is two strains of BT spray: Bacillus thuringiensis var. kurstaki and Bacillus thuringiensis var. aizawai. Available in both a liquid formula in sprays and a powdered version, these bacteria poison caterpillars. They’re effective not only on fall armyworms and others, but on other caterpillars such as cabbage loopers, cabbage worms, tomato hornworms, and cutworms. Beneficial nematodes help from within the soil. These microscopic soil-dwellers feast on the pupae of fall armyworms.  Nematodes on the soil surface attack larvae that may be burrowing down to pupate. But they’re not as effective on the soil’s surface unless it’s moist.

Cultural Control: There are a surprising number of armyworm predators. Cultivating natural enemies is a great integrated pest management strategy, even more than using organic methods. Among these predators are birds, especially crows, starlings, and bobolinks. Some frogs and toads also happily consume worms and adult moths. If you’ve been asking how to get rid of armyworms in grass, especially for your lawn or grain crops, attract these natural predators. However, birds may also pick at grain crops, so place bird netting over your crops if they become a problem.","pest, insect","Leaves, Stem",vegetative stage
Eggplant,Solanum melongena,Cercospora leaf spot,"Cercospora leaf spot is a fungal disease that affects eggplants, causing brown or grayish lesions on the leaves.     These lesions may have a yellow halo around them and can eventually cause the leaves to fall off.","There are several control methods available for managing Cercospora leaf spot on eggplants, including chemical, biological, and cultural control.        

Chemical Control: The use of fungicides is recommended to control the disease.     The most effective fungicides for controlling Cercospora leaf spot on eggplants include chlorothalonil, copper-based fungicides, and azoxystrobin.     These fungicides should be applied according to label instructions and at regular intervals to ensure effective control.        

Biological Control: The use of beneficial microorganisms such as Trichoderma harzianum and Bacillus subtilis has been found to be effective in controlling the disease.     These beneficial microorganisms work by competing with the fungal pathogen for nutrients, and also by producing antifungal compounds that inhibit its growth.        

Cultural Control: Avoid planting eggplants in the same field for consecutive seasons.     Proper plant spacing can reduce the incidence of the disease by increasing air circulation.     Remove and destroy infected plant debris to reduce the disease inoculum.     Avoid overhead irrigation as it can increase the humidity in the field, which favors disease development.     Proper fertilization can help keep the plants healthy and better able to resist the disease.    ",fungus,Leaves,vegetative stage
