Crop,Scientific,Stress,Description,Solutions,Causal Organisms,Affected Plant Parts,Affected Plant Stages
Corn,Spodoptera frugiperda,Scraping Damage of Armyworm,"Armyworms are the larvae of certain species of moths that can cause significant damage to corn crops. They are named for their behavior of moving in large groups and devouring everything in their path, much like an army on the march.        Armyworms are typically about 1-2 inches in length and can be brown, gray, or green in color. They have distinct stripes on their bodies that run the length of their back and sides. Armyworms feed on the leaves, stalks, and ears of corn plants, causing damage that can range from minor to severe.    ","To control Armyworm on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.        

Cultural Control: Cultural control involves modifying the environment to make it less favorable for the development and spread of armyworms. This can include practices such as crop rotation, planting resistant varieties, and sanitation.     For example, removing crop residues and weeds from the field can help reduce the population of armyworms, planting corn early in the season to avoid peak armyworm activity. 

Biological Control: One example of biological control is the use of parasitic wasps or flies that lay their eggs in the armyworm's eggs or larvae, causing their death. Another example is the use of insect-killing fungi, such as Beauveria bassiana, which can infect and kill armyworms.        

Chemical Control: There are many insecticides available that can be used to control armyworms on corns, such as pyrethroids, carbamates, and organophosphates.     However, it's important to use these insecticides judiciously and follow the label instructions carefully to avoid harming non-target organisms and to minimize the environmental impact.        ",Insect,"Leaves, Stem, Inside of the plants body ","Vegetative stage, Growing stage"
Corn,Ostrinia nubilalis,Corn Borer Damage,"Corn borers are a common pest that can cause significant damage to corn crops. They are the larvae of moths that lay their eggs on the leaves of corn plants. When the eggs hatch, the larvae burrow into the stalks or ears of the corn plant and feed on the tissue inside.    Corn borer damage can cause the plant to become stunted and weakened, and it can also make the plant more susceptible to other pests and diseases. The damage can also lead to yield losses if left unchecked.    ","To control Corn Borer on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.         

Cultural Control: Cultural control involves using practices that make the environment less favorable for corn borers. Some strategies include choosing corn hybrids that have been bred for resistance to corn borers can reduce the need for chemical or biological control, planting corn early or late in the season can reduce the risk of corn borer infestations, and plowing or disking the soil can disrupt corn borer overwintering sites and reduce populations. 

Biological Control: One such natural enemy is the Trichogramma wasp, which lays its eggs in the eggs of corn borers, preventing them from hatching. Another natural enemy is the Bacillus thuringiensis (Bt) bacterium, which produces a toxin that is lethal to corn borers.

Chemical Control: There are several insecticides that are effective against corn borers, including chlorpyrifos, bifenthrin, and cypermethrin. It is important to follow the label instructions carefully and apply insecticides when corn borers are in their most susceptible stages. ","Insects, Pest","Leaves, Stem",Vegetative stage
Corn,Kabatiella zeae Narita & Y. Hirats,Eye Spot,"Eye spot is a fungal disease that can affect corn plants. It is caused by the fungus Aureobasidium zeae and can cause significant damage to the leaves and stalks of the plant.        Eye spot appears as small, circular lesions on the corn leaves. These lesions can range in color from tan to reddish-brown and are surrounded by a yellowish halo. As the disease progresses, the lesions can coalesce and cause the leaf tissue to die and turn brown. In severe cases, the disease can also infect the stalks of the corn plant, causing lodging and yield losses.    ","To control Eye spot on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.          

Cultural Control: Cultural control involves using practices that make the environment less favorable for corn borers. Some strategies include planting a non-host crop, such as soybeans, in between corn crops can reduce eye spot populations, planting corn varieties that are resistant to eye spot can reduce the need for chemical or biological control, and plowing or disking the soil can help bury infected corn debris and reduce the risk of eye spot infections.

Biological Control: One such natural enemy is the Trichoderma fungus, which is known to colonize the roots of corn plants and suppress eye spot. Other beneficial microorganisms such as mycorrhizae and rhizobacteria can also help reduce eye spot infections.          

Chemical Control: Fungicides such as azoxystrobin, pyraclostrobin, and propiconazole are effective against eye spot. It is important to follow the label instructions carefully and apply fungicides when eye spot is first detected or when conditions are favorable for disease development.         ",Fungus,Leaves,Vegetative stage
Corn,Peregrinus maidis,Corn Plant Hopper,"Peregrinus maidis, commonly known as the corn planthopper, is a species of insect in the order Hemiptera and the family Delphacidae.It is widespread throughout most tropical and subtropical regions on earth, including southern North America, South America, Africa, Australia, Southeast Asia and China. P. maidis are a commercially important pest of maize and its relatives.In addition to physical plant damage, P. maidis is the vector for several species-specific maize viruses, including maize stripe virus, maize mosaic virusmand the non-pathogenic Peregrinus maidis reovirus.   ","To control White Flies on corns, there are several methods that can be used, including chemical control, biological control, and cultural control.          

Cultural Control:         
- Use varieties that are resistant to planthoppers.
- Grow early maturing varieties to have a rice-free period of more than 1 month to break pest cycle.
- Plow under ratoons and volunteer crops after harvest as these may serve as inoculum for viral diseases.
- Avoid dense planting in areas with history of recent planthopper infestations.
- Practice appropriate and balanced fertilizer application. Split nitrogen fertilizer into three applications during crop growth to reduce BPH build-up.
- Raise the level of irrigation water periodically to destroy the eggs that are deposited at the lower portions of tillers and in leaf sheaths.
- Intensify weeding to reduce hopper density. Straight row planting with proper spacing does not favor multiplication of planthoppers.
- Maintain low water level to enhance killing action of useful organisms

Biological Control: Useful organisms should be encouraged to build-up by avoiding early application of insecticides. Small wasps (e.g. Anagrus sp. and Oligosita sp.) attack eggs.
- Mirid bugs prey on eggs.
- Dragonflies and damselflies prey on nymphs and adults during flight.
- Spiders, water bugs, and lady beetles prey on nymphs and adults.
- Dryinids kill nymphs.
- Some entomophagous fungi kill nymphs and adults.          

Chemical Control: Applying insecticides when population is mostly young nymphs is wasteful because useful organisms usually keep their numbers under control.
- Indiscriminate use of insecticides causes BPH resurgence.
- Selective insecticides can also be used on strategic areas with very high population. However, proper application must be observed. 
","Insect, Pest",Leaves,"Affects flowering, fruiting, seedling and vegetative growing stages of the plants"
Corn,Clavibacter michiganensis subsp. Nebraskensis,Goss's wilt,"Goss's wilt is a bacterial disease of corn that causes wilting, severe leaf blighting, and systemic infection. It overwinters in infected residue and spreads through rain splash or irrigation water. The bacteria invade plants through wounds and can infect them at any stage of development. Wet weather and high humidity promote its spread but it can also occur under hot, dry conditions. Symptoms include elongated water-soaked lesions, freckle streaks, and a varnish-like residue.","There are several control methods available for managing Goss's wilt on corn, including chemical, biological, and cultural control. 

Cultural Control: Implement a crop rotation system that includes non-host crops for Goss's wilt, such as small grains or legumes, to reduce the buildup of bacteria in the soil. Practice thorough residue management by plowing or incorporating crop debris into the soil after harvest to promote decomposition and reduce the overwintering of the bacteria. Remove and destroy infected crop debris to prevent the spread of the disease to future crops.

Biological Control: Encourage the presence of natural enemies, such as predatory insects or parasitic wasps, which can help control populations of insect vectors that transmit Goss's wilt. Utilize beneficial microorganisms, like certain strains of bacteria or fungi, that can help suppress the growth of the Goss's wilt-causing bacteria.

Chemical Control: Fungicides are ineffective against Goss's wilt because it is a bacterial disease. However, they can help control other diseases that may weaken the plant and increase susceptibility to Goss's wilt. Copper-based bactericides can effectively reduce the spread of Goss's wilt. However, they are not recommended for commercial farms due to their cost and potential negative environmental impact.
source: https://www.agry.purdue.edu/ext/corn/pubs/GossWilt-Pioneer.pdf
",Bacteria,Leaves,All stages of development
Corn,Spodoptera frugiperda,Frass of Armyworm,"Armyworm frass refers to dark-colored waste produced by armyworm larvae while feeding. It presents as granular or pellet-like droppings on leaves stems, or the ground. The presence of frass suggests the existence of armyworms and their activity.

Armyworms are the larval stage of moths from the Noctuidae family. These larvae can grow up to 2 inches long and curl up when disturbed. Although they eventually develop into moths, the most significant damage is caused by the larval stage. Armyworms get their name from their behavior when they occur in large numbers, resembling an army battalion. They can quickly devastate lawn grasses and crops, particularly rice-strain and corn-strain plants. Signs of armyworm infestation include chewed leaves with scalloped edges, ""skeletonized"" leaves on crops like lettuce, cabbage, beans, corn, and shallow gouges in tomato fruits. Corn is particularly susceptible, with the worms feeding on leaf whorls and burrowing into the ears. Early-season corn is especially vulnerable.
source: https://www.planetnatural.com/pest-problem-solver/garden-pests/armyworm-control/","There are several control methods available for managing Armyworm frass on corn, including chemical, biological, and cultural control. 

Cultural Control: Modifying the environment to make it less hospitable to armyworms. One effective way is to practice crop rotation. By alternating corn with non-host crops, armyworm populations are reduced as they are deprived of their preferred food source. Removing crop residues after harvest can also help reduce overwintering populations of armyworms.

Biological Control
Biological control methods use natural enemies to control pest populations. One effective way is to introduce parasitic wasps, such as the braconid wasp, which lays its eggs inside the armyworm larvae. The wasp larvae then feed on the armyworm, killing it. Another biological control method is introducing predators, such as birds, which feed on armyworms.

Chemical Control
Chemical control methods involve the use of insecticides to kill armyworms. However, it is essential to use these chemicals judiciously, as they can also harm beneficial insects and pollinators. One effective chemical control method is Bacillus thuringiensis (Bt) insecticide. It is a naturally occurring bacterium that produces a protein toxic to armyworms but harmless to humans and other animals.
source: https://www.planetnatural.com/pest-problem-solver/garden-pests/armyworm-control/","Insect, Pest",Leaves,"Vegetative stage, Reproductive stage"
Corn,Peregrinus maidis,Corn Plant Hopper Egg Mass,"The egg mass of the Corn Planthopper is elongated, white or yellowish-white in color, and arranged in rows on the undersides of corn leaves. These small eggs, measuring about 0.5 mm in length, are challenging to detect without magnification. Typically, an egg mass contains around 10-30 eggs and is coated with a protective waxy secretion that safeguards the eggs from predators and drying out.

Controlling the egg mass of the Corn Planthopper is crucial in managing this pest, as it is a significant threat to corn crops and can cause substantial yield losses. By targeting and managing the egg stage, farmers can help prevent further damage to their crops.","There are several control methods available for managing Corn Planthopper Egg Mass on corn, including chemical, biological, and cultural control. 

Cultural Control: Cultural control methods aim to manage the environment and cultural practices to reduce the risk of Corn Planthopper (CPH) infestation. These methods include rotating the crops can help break the pest's life cycle, reduce its population, and prevent the buildup of infestation. Removing the crop residues after harvest can help eliminate the overwintering sites for CPH and other pests. Planting early or late can help avoid peak CPH activity and reduce the risk of infestation. Controlling weeds and other host plants can help reduce the populations of CPH and prevent their spread.

Biological Control: Biological treatments are effective when the population density of the planthopper is low. The pest can be controlled by utilizing natural enemies such as water striders, mirid bugs, spiders, and various parasitoid wasps and flies that prey on the insect. Flooding the seedbed for a short period, allowing only the seedling tips to be exposed, can also help manage the planthopper population through a method known as drowning. Another approach is to sweep small seedbeds with a net to capture the insects. These strategies provide environmentally friendly alternatives to control the planthopper.

Chemical Control: It is important to adopt an integrated approach that combines preventive measures with biological treatments, if possible. Insecticides should only be considered when there are significant populations of planthoppers or when natural enemies are insufficient. Selective insecticides such as buprofezin, pymetrozine, etofenprox, or alternating compounds can be used against the pest. However, it is advisable to avoid chemicals like quinalphos, chlorpyriphos, lambda-cyhalothrin, or other synthetic pyrethroid combinations as they can promote resistance development and the resurgence of the insect. Taking these precautions can help manage the brown planthopper effectively while minimizing the negative impacts on the environment.
Source: https://plantix.net/en/library/plant-diseases/600104/brown-planthopper","Insect, Pest",Leaves,"Seedling Stage, Reproductive Stage, Vegetable Stage"
Eggplant,Cercospora melongenae,Cercospora leaf spot,"Cercospora leaf spot is a fungal disease that affects eggplants, causing brown or grayish lesions on the leaves.     These lesions may have a yellow halo around them and can eventually cause the leaves to fall off.","There are several control methods available for managing Cercospora leaf spot on eggplants, including chemical, biological, and cultural control.        

Cultural Control: Avoid planting eggplants in the same field for consecutive seasons.     Proper plant spacing can reduce the incidence of the disease by increasing air circulation.     Remove and destroy infected plant debris to reduce the disease inoculum.     Avoid overhead irrigation as it can increase the humidity in the field, which favors disease development.     Proper fertilization can help keep the plants healthy and better able to resist the disease.

Biological Control: The use of beneficial microorganisms such as Trichoderma harzianum and Bacillus subtilis has been found to be effective in controlling the disease.     These beneficial microorganisms work by competing with the fungal pathogen for nutrients, and also by producing antifungal compounds that inhibit its growth.        

Chemical Control: The use of fungicides is recommended to control the disease.     The most effective fungicides for controlling Cercospora leaf spot on eggplants include chlorothalonil, copper-based fungicides, and azoxystrobin.     These fungicides should be applied according to label instructions and at regular intervals to ensure effective control.
",Fungus,Leaves,Vegetative stage
Eggplant,Epitrix fuscula,Flea beetle,"Flea beetles are small, jumping insects that can cause damage to eggplants and other plants by feeding on the leaves and stems.     They are typically black or brown in color and are named for their ability to jump like fleas when disturbed.     Flea beetles can cause significant damage to eggplants, especially when populations are high.        Signs of flea beetle damage on eggplants include small holes in the leaves, a ""shot hole"" appearance of the foliage, and wilting or stunted growth.     Flea beetles can also transmit bacterial wilt disease to eggplants, further reducing their health and yield.","There are several control methods available for managing Flea beetle on eggplants, including chemical, biological, and cultural control.    

Cultural Control: One method is to use row covers to physically exclude the beetles from the plants. Another method is to plant eggplants earlier in the season, as flea beetles tend to be more active in late spring and early summer. Additionally, removing any weeds or debris around the plants can also help reduce the population of flea beetles.

Biological Control: Natural enemies of flea beetles include parasitic wasps and predatory insects like ladybugs. One effective biological control method for flea beetles is releasing beneficial nematodes in the soil. These microscopic worms will attack the larvae of the flea beetles, reducing their population.        

Chemical Control: Some common pesticides used to control flea beetles in eggplants include carbaryl, pyrethroids, and neonicotinoids. It is important to follow the instructions on the label and use the appropriate protective equipment while applying the pesticide. However, repeated use of pesticides can lead to the development of resistance in flea beetles and can also harm beneficial insects, such as bees and other pollinators.        ","Insect, Pest",Leaves,Vegetative Stage
Eggplant,Helicoverpa zea,Earworm," Earworm is a highly damaging crop pest, considered one of the most costly. It commonly attacks valuable crops and the harvested portions of plants. The larvae can be found feeding on blossoms, buds, and fruits. In corn, they feed on silks, interfering with pollination, and later gain kernel access. This feeding can lead to fungal infections. They may also burrow directly into the ear, remaining within a single ear or occasionally searching for another. The larvae can also damage young leaf tissue in corn plants at the whorl stage. In tomato plants, they feed on foliage, burrow into the stems, and primarily target the fruit. They often move from one fruit to another, causing damage. Other crops like eggplants, beans, cantaloupes, cucumbers, squash, and pumpkins can also be affected similarly. The presence of silking corn nearby can influence their oviposition preference.","There are several control methods available for managing Earworm on eggplants, including chemical, biological, and cultural control.

Cultural Control: Trap cropping is a recommended method, using crops preferred by corn earworm moths to lure them away from main crops. However, maintaining attractant crops for extended periods can be challenging. Controlling weeds through mowing, herbicides, or insecticides can reduce damage to nearby crops in areas where populations develop on weed hosts before moving to crops. Early planting or harvesting can also help minimize injury, especially in northern regions. Autumn tillage can significantly reduce the overwintering success of pupae in southern areas.

Biological Control: Bacillus thuringiensis (Bt) bacteria and certain nematodes can provide some suppression of corn earworms. When applied to corn silk, entomopathogenic nematodes can effectively suppress larval development, particularly in home garden settings. Soil applications of nematodes can also impact earworm populations as larvae drop into the soil to pupate. However, complete larval development is necessary before effective control is achieved, resulting in some crop damage.

Chemical Control: Insecticides are commonly used for corn earworm control. Liquid formulations are applied to foliage, emphasizing the ear zone and silk. Applications are typically made at intervals of two to six days and sometimes more frequently. Resistance to insecticides is a concern, as corn earworm has developed resistance to many chemicals due to frequent and widespread use. Bacillus thuringiensis (Bt) susceptibility varies, and the factors contributing to this variation are not fully understood. In-home gardens, mineral oil, can be applied to corn silk after pollination to provide effective control. Applying around 0.75 to 1.0 ml of oil five to seven days after silking is recommended.
source: https://entnemdept.ufl.edu/creatures/veg/corn_earworm.htm","Insect, Pest",Leaves,"Seedling Stage, Vegetative Stage, Flowering Stage, Fruit Development Stage"
